num_links,num_words,has_offer,all_caps
1,154,0,0
0,41,0,1
1,23,0,0
2,176,0,0
1,137,0,0
0,187,0,0
0,199,0,0
1,133,0,0
0,79,0,0
1,188,0,0
0,92,1,0
2,34,0,0
0,142,0,1
2,96,0,1
1,76,1,0
2,113,0,0
0,118,0,1
2,182,0,0
1,109,0,0
1,38,0,0
2,168,1,0
1,160,0,0
1,40,1,0
1,107,0,0
2,45,0,0
3,75,1,0
2,50,0,0
4,49,0,0
1,43,0,0
0,115,0,1
1,177,0,0
2,140,0,0
1,173,1,0
1,121,0,0
1,101,0,0
1,124,0,0
0,73,1,0
0,132,1,0
2,143,0,0
0,95,0,0
3,40,1,0
3,170,0,1
4,145,0,0
2,47,1,1
4,143,1,0
1,100,0,0
2,98,0,0
0,42,1,0
1,72,0,0
0,181,0,0
1,87,0,1
1,124,1,0
0,31,0,0
2,149,0,1
3,44,0,0
1,107,1,0
1,114,0,0
2,144,1,0
2,191,0,0
1,181,0,0
1,153,0,0
2,114,1,0
0,58,0,0
0,146,1,0
1,197,1,0
1,43,0,1
0,24,0,0
2,73,0,0
1,73,0,0
3,29,0,0
1,101,1,0
3,94,1,0
2,113,1,0
2,126,0,1
4,88,0,0
2,25,0,0
0,35,0,0
1,79,1,0
0,161,0,0
0,52,1,0
2,120,0,0
2,187,0,0
1,59,1,0
0,28,0,0
2,110,0,0
1,67,1,0
1,29,1,0
1,25,1,0
1,81,0,0
0,50,0,0
2,25,1,0
3,114,0,0
4,53,1,0
3,112,0,0
0,86,1,0
4,31,0,0
1,57,0,0
1,154,0,0
2,83,1,0
0,138,0,0
1,139,0,0
1,142,0,0
2,96,0,0
2,151,1,0
2,40,1,1
0,97,0,0
2,183,0,0
0,154,0,0
0,96,0,0
3,182,1,0
3,144,0,0
2,196,1,0
2,116,0,0
1,140,0,1
5,158,0,0
1,122,1,0
0,108,0,0
1,122,0,0
2,43,1,0
3,41,0,0
3,190,1,1
0,198,0,0
1,196,0,0
0,141,1,0
0,139,0,0
0,41,1,0
1,98,0,0
3,37,0,0
1,63,0,0
1,128,0,0
2,51,0,0
1,75,0,0
2,93,0,0
1,28,0,0
2,108,0,0
1,140,0,0
2,151,0,0
1,57,0,1
3,119,1,0
3,61,0,0
3,154,0,0
1,189,1,0
2,137,0,0
1,79,0,0
3,109,0,0
0,167,1,0
3,143,0,0
0,144,0,0
1,130,1,0
1,40,1,0
0,146,0,1
0,152,0,0
0,140,0,0
2,49,1,0
0,82,1,0
1,57,0,0
5,183,0,0
3,57,0,0
3,42,0,0
2,170,0,0
2,77,0,0
1,195,0,1
3,153,0,0
2,126,1,0
1,193,1,0
2,106,1,0
1,162,0,0
0,20,1,0
1,119,0,1
0,111,0,0
2,52,0,0
0,129,0,1
2,171,1,0
1,89,0,0
2,161,0,0
3,115,0,0
2,102,1,0
2,103,0,0
3,144,0,0
1,103,0,0
1,185,0,0
0,158,0,1
0,179,0,0
2,176,0,0
1,49,0,0
3,176,0,0
0,105,0,0
2,158,0,0
6,196,1,0
2,124,0,0
1,97,0,0
2,141,0,0
2,185,0,0
1,154,0,0
0,113,1,0
0,93,1,0
2,154,1,0
1,24,0,0
2,66,0,0
0,55,1,0
0,162,0,0
0,58,1,0
2,57,0,0
2,55,0,0
1,134,1,0
0,21,0,0
1,34,0,0
1,103,0,0
2,74,0,0
3,96,1,0
1,44,0,1
1,33,0,0
0,156,0,0
2,196,0,0
0,137,0,0
1,182,0,0
1,24,0,0
0,120,0,0
3,164,0,0
0,88,0,0
1,73,1,0
5,194,1,1
2,196,1,0
2,93,0,0
2,81,0,0
3,170,0,0
1,112,0,0
0,35,1,0
3,154,0,1
1,62,0,0
2,191,0,0
3,156,0,0
1,90,1,0
1,99,1,0
1,157,0,0
0,146,1,0
3,143,0,0
0,152,1,0
1,70,0,0
2,26,0,0
2,41,0,0
2,43,1,0
1,145,0,0
1,123,0,0
3,61,1,0
3,169,0,0
3,182,1,0
1,135,0,0
1,150,0,0
1,130,1,0
3,125,0,0
3,38,0,0
1,189,0,0
3,193,0,0
4,91,1,0
3,144,0,0
2,167,0,0
1,52,0,1
1,153,0,0
2,34,1,0
1,88,0,0
1,109,0,0
2,50,0,1
1,25,1,0
1,148,0,0
2,166,0,0
2,34,1,0
0,53,1,0
2,102,0,0
1,196,1,0
1,101,0,0
0,193,0,0
2,70,1,0
4,30,0,0
0,23,0,0
0,101,0,1
1,60,0,0
1,20,0,0
1,28,0,0
2,186,0,0
3,84,0,0
2,135,0,0
0,36,0,0
2,86,0,0
1,106,0,0
1,20,0,0
0,171,0,0
2,141,0,0
1,167,1,1
1,167,1,0
2,143,1,0
1,100,0,0
0,104,0,0
1,187,1,0
0,177,0,0
1,170,0,0
4,42,0,0
1,139,0,0
2,75,0,0
2,66,0,1
1,164,0,0
0,21,1,1
0,125,0,1
3,52,0,0
1,127,1,0
3,34,0,0
1,51,0,1
0,125,0,0
2,181,0,0
2,50,0,0
2,34,0,0
1,167,1,0
1,125,0,0
2,50,1,1
0,21,1,0
2,32,0,0
3,115,0,1
1,132,0,0
5,163,0,0
2,34,0,0
4,44,0,0
2,95,0,0
1,47,0,0
3,124,0,0
1,31,0,0
1,140,0,0
5,132,0,0
1,163,1,0
0,93,1,0
2,157,1,0
2,110,1,0
0,71,0,0
1,49,0,0
0,116,1,0
2,35,0,0
2,157,1,0
1,162,0,0
2,45,1,0
1,34,0,0
1,153,0,0
2,128,0,0
2,148,0,0
2,133,1,0
1,106,0,0
2,182,0,0
0,143,1,0
0,126,0,0
2,108,1,1
3,148,1,0
1,108,0,0
1,57,1,0
2,60,0,0
0,159,0,0
1,157,0,0
1,174,1,0
3,186,0,0
2,89,1,0
4,64,0,1
2,30,0,0
1,43,0,0
3,76,0,0
2,59,1,0
2,108,0,0
1,56,1,1
2,22,0,1
1,87,0,0
2,140,0,0
0,148,0,0
3,113,1,0
0,64,0,0
1,50,0,0
3,56,1,1
1,133,0,1
4,62,1,0
3,104,1,0
1,118,0,0
2,23,0,1
2,141,0,0
3,48,0,0
2,119,0,0
1,118,0,0
2,115,1,0
1,125,1,0
2,158,0,0
1,52,0,0
3,140,0,0
2,36,0,0
2,159,0,0
0,20,0,0
0,42,1,0
1,26,0,0
1,97,0,0
1,188,1,0
3,72,0,0
1,26,0,0
0,117,0,0
0,103,0,0
0,93,0,0
1,24,0,0
0,116,0,0
3,120,0,0
5,183,1,1
0,63,0,0
0,129,0,0
1,141,1,0
0,158,0,0
1,168,0,0
2,151,0,0
0,108,0,0
3,54,0,0
1,54,0,0
2,54,1,0
2,186,0,0
3,52,0,0
3,96,0,0
2,87,0,0
0,140,0,1
2,191,0,0
2,70,0,0
2,57,0,0
1,61,1,0
1,192,1,1
2,49,1,0
2,182,1,0
1,47,0,0
2,188,0,0
3,125,0,0
1,192,0,0
3,67,1,0
2,74,0,0
0,155,0,0
1,173,0,0
1,126,0,0
2,144,0,0
2,134,0,0
3,176,0,0
1,74,1,0
1,89,0,0
2,67,0,0
0,26,0,0
2,94,0,0
3,142,0,0
4,99,1,0
1,153,1,1
1,184,1,0
1,156,1,0
2,22,1,0
1,112,0,0
3,136,1,0
3,155,1,0
0,187,0,0
0,36,1,1
1,145,1,0
0,127,0,1
1,66,0,0
3,30,0,0
1,157,0,0
1,80,0,0
3,149,0,0
1,176,0,0
3,89,0,0
2,70,0,0
2,92,0,1
1,147,0,0
2,87,1,0
1,76,0,0
4,188,0,0
3,113,0,0
0,151,0,0
3,148,1,0
2,26,0,0
3,101,0,0
1,155,1,0
1,113,0,0
1,98,0,0
3,29,0,0
0,129,0,0
1,125,0,0
0,134,0,0
2,169,0,0
2,199,0,0
1,196,0,0
1,86,0,0
0,23,0,0
2,108,1,0
3,88,0,0
0,72,0,0
2,171,0,0
2,102,1,0
1,146,0,0
2,159,0,0
0,66,0,0
2,46,1,0
0,165,0,0
3,70,0,0
1,106,0,0
1,140,0,0
0,86,1,0
0,21,0,0
1,158,1,0
1,120,1,0
0,160,1,0
2,187,0,1
0,153,0,0
3,31,0,0
3,62,0,0
0,91,0,0
1,92,1,0
0,23,1,0
2,184,1,0
2,183,0,0
3,51,0,0
1,159,0,0
1,165,1,0
1,50,0,0
1,187,0,0
2,126,1,0
0,193,1,0
2,186,0,0
0,82,1,0
1,74,0,0
2,59,0,0
4,176,0,0
2,158,1,0
1,116,0,0
1,58,1,0
2,191,1,0
0,39,1,0
3,115,1,0
3,104,1,0
1,120,0,0
0,46,0,0
0,57,0,0
4,106,0,0
1,117,1,0
1,95,1,0
1,30,0,0
2,183,0,0
1,179,0,1
1,126,1,0
1,143,0,0
1,35,0,0
1,61,0,1
3,178,0,1
0,89,1,0
1,32,0,0
1,55,0,0
2,94,0,0
2,158,0,0
1,143,1,0
1,145,0,0
3,67,1,0
1,167,0,0
1,176,0,1
3,38,1,0
2,144,0,0
1,153,0,0
1,75,0,0
5,146,0,0
1,119,0,1
0,138,0,0
0,165,0,0
1,61,1,0
2,79,1,0
2,75,0,0
2,22,1,0
0,186,0,1
3,62,0,0
1,175,0,0
3,189,1,0
1,156,1,1
0,103,0,1
2,37,0,0
2,108,1,0
1,40,1,0
4,173,0,1
0,42,1,0
1,157,0,0
1,191,0,0
1,32,1,0
1,56,0,0
1,159,0,1
1,22,0,0
2,161,0,0
3,182,0,0
4,117,0,0
4,112,1,0
2,177,1,0
2,90,0,0
0,137,1,0
1,165,0,0
2,45,0,0
2,193,0,0
3,159,0,0
1,76,1,0
1,179,0,1
2,132,0,0
1,83,0,0
5,85,0,0
1,184,1,0
2,161,0,0
2,157,0,0
2,123,0,0
3,83,0,0
3,188,0,0
1,138,0,0
2,40,1,0
0,28,1,0
3,156,0,0
1,165,0,0
2,139,0,0
1,88,1,0
1,81,0,0
0,163,0,1
2,140,0,0
1,23,0,0
1,168,0,0
0,138,0,0
1,133,1,0
0,120,1,0
2,191,0,1
0,132,0,0
0,95,0,0
1,174,0,0
0,181,1,0
1,23,1,0
1,70,0,0
1,149,0,1
3,179,0,0
3,149,1,0
3,77,0,1
2,169,0,0
3,38,0,0
1,39,1,0
1,119,0,0
2,165,0,1
0,197,0,0
3,33,0,0
1,39,0,0
1,64,0,0
2,107,0,1
0,66,1,0
1,76,0,0
0,50,0,0
4,199,0,0
0,119,0,1
0,65,0,1
4,154,1,1
1,68,0,0
2,170,0,0
1,60,0,1
1,151,0,0
1,114,0,0
2,101,1,0
3,128,0,0
0,178,1,0
0,66,0,0
0,119,0,0
0,37,1,1
3,26,0,0
5,57,0,0
3,192,1,1
2,47,0,0
0,37,0,0
3,28,1,0
1,126,0,1
2,35,0,0
0,81,0,0
0,147,0,0
0,59,0,0
2,120,0,0
2,113,1,1
0,77,0,0
3,125,1,0
3,113,0,0
3,38,0,0
1,46,0,0
1,49,0,1
2,64,1,0
1,178,0,0
5,55,0,0
2,186,0,0
1,69,0,0
0,113,0,0
1,57,1,0
4,158,1,0
2,100,1,1
3,93,0,0
4,35,0,0
2,198,0,0
1,186,0,0
3,111,1,0
2,170,1,0
0,129,0,0
2,84,1,1
2,68,1,0
1,160,1,0
2,102,0,0
2,171,0,0
0,123,0,0
0,196,0,0
1,142,0,0
2,184,0,0
1,126,1,0
2,45,0,1
1,129,0,0
1,189,1,0
2,22,1,0
2,124,1,0
3,190,0,1
1,92,0,1
1,84,0,0
1,165,0,0
1,86,0,0
2,161,1,0
4,51,0,0
1,120,0,0
1,168,0,0
0,125,0,0
3,174,0,0
1,152,0,0
0,86,0,0
4,188,0,0
0,127,0,1
2,21,0,0
3,62,0,0
1,148,0,0
0,170,0,1
3,195,0,0
1,44,1,1
2,109,0,0
1,140,0,0
2,86,0,0
3,114,0,1
1,110,0,0
2,194,0,0
1,108,0,0
0,138,1,0
3,75,1,0
0,78,1,1
1,163,1,0
4,194,1,0
0,109,1,0
3,73,0,1
0,66,0,0
3,199,0,0
2,165,1,0
1,65,0,0
2,137,0,0
0,141,0,0
1,173,1,0
2,37,1,0
0,68,0,0
1,129,0,0
2,154,1,0
2,177,0,0
1,116,0,0
1,172,1,0
1,44,0,0
0,174,0,0
0,54,0,0
1,126,0,0
1,101,1,1
1,140,0,0
1,177,0,0
1,33,0,0
1,182,0,0
2,53,0,0
0,162,0,0
0,26,0,0
1,160,1,0
4,187,1,0
2,53,0,0
1,32,0,0
1,23,0,0
1,160,0,0
5,67,1,0
2,127,1,0
0,160,0,0
1,112,0,0
1,52,0,0
0,42,1,0
2,86,1,0
3,179,0,0
1,22,1,0
1,159,0,0
1,143,0,0
2,75,0,0
2,52,0,0
0,51,1,0
2,164,0,0
1,199,0,0
3,92,0,0
0,24,0,0
2,40,1,0
2,22,1,0
1,136,0,1
0,56,0,0
1,54,1,0
2,52,1,0
1,22,0,0
0,195,0,0
1,165,0,0
0,150,0,0
1,112,0,0
3,120,0,0
1,152,1,0
2,28,0,0
1,35,0,0
0,110,0,0
0,92,0,0
1,197,0,0
3,76,0,0
2,126,0,1
3,105,0,1
1,36,0,0
3,84,0,0
0,76,1,0
1,24,0,0
1,169,1,0
0,148,1,0
0,194,0,1
2,196,0,0
3,151,0,0
0,169,0,0
1,107,1,0
1,51,0,0
1,129,0,0
0,85,0,0
2,119,1,0
3,90,0,0
0,27,1,0
4,55,0,0
0,31,0,1
1,175,1,1
4,21,0,0
1,130,0,0
2,97,0,0
1,166,0,0
1,104,0,1
1,68,0,0
2,131,0,0
2,56,1,1
2,199,0,0
1,79,1,1
1,61,0,0
3,26,0,0
1,61,1,0
1,35,0,0
0,134,0,0
1,172,0,0
3,185,0,0
2,63,1,1
3,57,0,1
1,64,1,0
1,177,1,0
0,163,0,0
0,151,1,1
0,113,0,1
1,54,1,1
2,80,0,0
4,152,0,0
1,128,0,0
1,97,0,0
1,147,0,0
3,188,0,0
1,60,1,0
1,123,0,0
1,47,0,0
1,157,0,1
2,137,1,0
3,144,1,0
3,199,0,0
0,133,0,0
2,179,1,0
2,64,1,0
0,35,0,0
1,109,0,0
2,54,0,0
0,124,0,0
1,164,0,0
2,131,0,0
4,189,0,0
3,169,0,0
6,197,0,0
2,40,0,0
3,65,0,0
1,76,0,0
2,24,0,0
1,71,1,0
1,178,0,0
2,180,0,0
3,194,0,0
3,150,0,1
1,72,1,0
3,102,0,0
0,37,0,0
1,175,0,1
3,162,0,1
2,69,0,0
3,180,0,0
0,47,1,0
3,65,0,0
2,132,0,0
2,135,0,0
1,91,0,0
4,139,1,0
0,132,0,0
4,113,1,0
1,20,0,0
0,77,0,0
2,168,1,0
2,75,0,0
2,89,0,0
1,164,0,0
3,97,0,0
1,154,0,0
0,98,0,1
1,91,1,0
3,195,0,0
1,29,0,0
1,146,1,0
1,60,0,0
1,166,1,0
3,155,0,0
2,177,0,0
4,126,1,0
1,183,1,1
0,197,0,1
4,101,0,0
0,149,0,0
0,24,1,0
4,193,0,0
2,96,0,0
1,59,1,1
1,30,1,1
1,137,1,0
3,185,0,0
0,36,0,0
1,94,1,0
1,140,0,0
1,45,1,0
0,58,0,0
3,117,0,0
4,172,0,0
0,107,0,0
3,135,0,0
4,177,0,0
1,193,0,0
1,60,0,0
0,123,1,0
2,197,0,0
3,127,0,0
1,191,0,0
2,29,1,0
0,92,0,0
0,149,0,0
1,139,1,0
4,168,0,0
1,137,1,0
0,44,0,0
2,41,0,0
1,30,0,0
4,191,0,0
1,24,0,0
1,25,0,0
0,35,0,0
2,65,1,0
0,171,0,0
0,33,0,0
3,43,0,0
2,128,0,1
5,95,0,0
1,170,1,0
3,186,1,1
1,25,1,0
6,40,0,0
1,131,0,0
4,65,0,0
1,124,0,0
1,188,0,0
4,131,0,0
0,189,1,1
2,182,0,0
0,60,0,0
1,86,0,0
0,102,0,0
4,102,0,0
1,84,0,0
1,105,0,0
3,166,0,0
3,98,0,0
2,166,0,0
0,44,1,1
1,186,0,0
0,113,0,1
2,139,0,0
2,180,1,0
3,187,1,0
0,31,0,0
1,111,1,0
0,177,0,0
0,89,1,0
1,189,0,0
2,161,0,0
1,24,0,0
2,183,0,0
7,79,1,0
1,97,1,0
5,196,1,0
2,132,0,0
2,71,0,0
0,156,0,1
0,163,1,0
0,54,0,0
0,93,0,0
2,132,0,1
2,35,0,1
2,180,0,0
0,70,0,0
3,80,1,0
3,98,0,0
1,78,0,0
2,146,0,0
1,122,0,0
0,23,0,0
2,149,0,0
0,90,0,0
1,121,0,0
1,81,1,0
4,117,0,0
6,44,1,0
5,90,0,0
0,44,1,0
4,142,0,0
0,85,1,0
2,45,0,0
1,121,0,0
0,125,0,0
0,150,0,0
5,193,1,0
2,176,0,1
3,158,1,0
2,168,0,0
2,62,1,0
1,23,0,0
4,88,0,0
1,41,0,0
1,129,0,0
3,122,1,0
1,25,0,0
1,169,1,0
0,35,0,0
1,183,1,1
0,197,1,0
0,77,0,0
0,106,1,1
1,142,1,0
2,198,1,0
2,97,0,0
3,66,1,0
0,153,0,0
2,172,0,1
1,150,0,0
0,32,0,0
2,134,1,0
2,72,0,0
3,86,1,0
0,50,0,0
2,146,0,0
1,86,0,0
0,100,0,0
1,152,0,0
2,156,1,0
2,48,0,0
2,182,0,0
0,123,0,0
1,182,0,0
2,69,1,0
0,49,0,0
1,34,1,0
1,48,0,0
1,172,0,0
0,94,1,0
2,76,0,1
1,131,0,0
1,70,0,0
2,87,0,0
0,143,1,0
0,77,0,0
0,159,0,0
1,88,0,0
1,125,1,1
2,184,1,0
0,172,0,1
0,87,1,0
0,171,0,0
1,55,1,0
2,149,0,0
4,54,1,0
0,144,0,0
0,119,0,0
0,27,0,0
2,47,0,0
1,145,0,0
0,123,0,0
1,63,1,0
3,29,1,0
2,24,1,0
3,120,1,0
2,139,0,1
3,194,0,1
0,178,1,0
0,48,0,0
1,150,1,0
2,173,0,0
0,114,0,0
2,21,0,0
6,98,0,0
0,111,0,0
1,75,0,0
1,161,0,0
1,95,0,0
2,34,0,0
1,104,0,0
0,143,0,0
2,137,0,0
1,64,0,1
2,66,0,0
4,39,0,1
1,143,0,0
2,165,0,0
1,98,0,1
0,80,0,1
1,140,0,1
0,24,0,0
1,77,0,0
1,100,0,0
0,96,1,0
4,79,0,0
2,160,1,0
1,119,1,0
1,59,1,0
0,199,0,0
2,21,0,0
0,158,0,0
0,30,0,0
0,29,0,0
0,47,1,0
0,138,0,0
0,158,1,0
1,26,1,0
2,176,0,0
0,199,0,0
1,162,1,0
1,26,0,0
2,74,0,0
1,150,0,0
5,39,0,0
1,143,1,0
3,22,0,0
1,176,0,0
1,39,0,0
2,29,0,0
2,109,1,0
2,113,0,0
2,184,0,0
1,103,0,0
0,70,0,0
2,136,1,0
3,189,0,1
0,116,0,0
2,49,0,0
1,64,0,0
1,119,0,1
3,171,0,0
2,178,1,0
2,42,0,0
0,72,0,0
1,61,1,0
2,183,0,0
0,123,1,0
2,132,1,0
1,181,0,0
1,104,0,1
1,173,0,0
1,90,0,0
2,172,0,0
2,22,0,1
2,136,1,0
0,62,0,0
1,153,1,0
1,73,0,0
3,71,1,0
0,32,0,0
1,131,0,0
1,75,1,1
3,123,0,0
1,194,0,0
1,85,0,0
0,87,1,0
2,32,1,0
1,49,0,0
0,95,0,0
3,180,1,0
2,185,0,0
2,62,1,0
2,131,1,0
0,117,0,0
1,22,0,0
3,62,1,0
0,92,1,0
2,151,1,0
5,111,0,0
0,51,0,0
1,20,0,0
0,160,1,0
0,55,0,0
0,45,0,0
1,169,0,0
2,107,0,0
2,158,0,0
0,44,1,0
2,98,1,1
2,192,1,0
2,183,0,0
2,121,0,0
2,53,0,0
1,181,0,0
5,51,0,0
2,121,1,0
2,172,1,0
0,140,0,0
2,76,0,0
2,126,0,0
4,176,1,0
0,40,1,0
1,92,0,0
0,104,1,0
1,40,0,0
1,194,0,0
1,179,0,0
3,169,0,0
1,61,0,0
3,30,0,0
2,77,0,0
1,117,0,0
0,60,0,1
1,105,0,0
0,172,0,1
2,163,0,1
1,122,1,0
5,127,0,0
0,89,0,0
1,181,0,0
0,65,0,1
2,67,0,0
5,56,0,0
3,41,0,0
2,99,1,0
1,154,0,0
1,194,0,0
3,96,0,0
2,132,0,0
2,36,0,0
2,22,0,0
3,159,0,0
3,95,0,0
4,38,0,0
0,178,1,0
4,134,0,1
2,21,0,0
2,115,1,0
2,147,1,0
2,37,0,0
1,74,1,0
2,23,0,0
3,169,1,0
2,139,0,0
0,97,1,0
0,97,0,0
0,112,0,0
2,53,1,0
1,195,1,0
0,146,0,1
2,126,0,0
1,171,0,0
2,64,1,0
4,142,0,0
3,112,0,0
1,157,1,0
1,193,0,1
2,183,1,0
1,117,1,1
1,70,0,0
1,179,0,0
1,179,0,0
2,162,0,0
1,156,0,0
1,77,0,0
0,183,1,0
1,169,0,0
1,32,0,0
3,188,0,0
2,127,0,0
2,173,1,0
0,139,0,0
1,147,0,0
0,63,0,0
1,105,0,0
1,49,1,0
4,96,1,0
2,184,0,0
2,77,1,0
1,102,0,0
1,182,0,0
2,141,1,0
0,196,0,0
1,154,1,0
2,54,1,0
0,186,1,0
0,25,0,0
0,97,0,0
2,84,1,0
3,129,0,0
1,104,0,0
1,174,0,0
1,158,0,0
2,28,1,0
0,157,0,1
0,62,0,0
2,139,0,0
1,69,1,0
0,132,1,0
1,193,0,0
2,82,0,0
0,196,0,0
1,178,0,1
3,155,0,0
3,187,0,0
1,198,0,0
0,152,1,1
1,178,0,0
2,154,0,0
1,192,1,0
2,66,0,0
3,161,1,0
1,44,0,1
2,104,0,0
0,194,0,0
1,112,0,0
6,193,0,0
0,192,1,0
2,178,1,0
0,71,0,0
3,146,1,0
4,23,0,0
2,137,1,0
1,65,1,0
1,176,0,0
1,196,0,0
0,115,0,0
0,20,1,0
1,87,0,1
4,184,0,0
3,97,0,0
0,141,0,0
0,199,0,0
3,138,1,0
4,97,1,0
3,149,0,0
0,40,1,0
0,48,0,0
0,95,0,0
3,101,0,1
1,185,0,0
3,179,1,0
0,188,0,0
0,41,0,0
1,189,0,0
4,159,0,0
2,76,1,0
5,27,1,0
3,175,1,0
3,76,0,0
1,36,0,1
3,40,0,0
1,70,0,0
1,154,1,0
6,73,0,0
3,188,0,0
1,79,0,0
1,63,1,0
2,96,0,0
0,48,0,0
1,190,0,0
1,184,1,0
0,80,1,0
2,80,0,0
1,91,0,0
1,39,0,0
2,191,0,0
0,75,1,0
0,195,1,0
1,93,0,0
2,162,0,1
2,65,1,0
0,64,0,0
1,61,0,0
1,27,0,0
2,103,0,0
0,33,1,0
0,45,0,0
2,121,0,0
3,60,0,0
3,48,0,0
0,32,1,0
2,117,0,0
2,66,0,1
0,40,0,0
0,114,0,1
1,31,0,0
0,125,0,0
1,43,1,0
2,40,0,0
0,23,1,0
2,44,0,0
2,27,1,0
1,183,0,0
1,53,0,1
2,133,1,0
1,69,0,0
0,110,0,0
4,47,0,0
1,81,0,0
4,112,0,0
3,146,1,0
2,63,0,0
2,179,0,0
2,27,0,0
0,164,0,0
2,159,0,1
3,144,0,0
1,109,0,0
0,125,0,0
1,90,0,0
1,173,0,1
3,120,1,0
1,180,1,0
2,191,0,0
2,51,0,0
2,185,0,0
1,29,1,0
1,98,0,0
2,148,0,0
1,96,1,0
2,94,1,1
2,109,0,0
2,44,0,0
4,71,0,0
0,71,1,0
2,31,0,0
0,65,1,0
2,156,1,0
1,64,1,0
1,55,0,0
2,156,1,0
2,116,0,0
2,187,1,0
0,181,0,0
2,107,1,0
2,72,0,0
2,128,0,0
0,64,1,0
3,145,0,0
1,116,0,0
2,180,0,0
6,48,0,0
1,185,0,0
1,67,1,0
2,101,0,0
0,78,0,0
1,81,0,0
3,54,0,0
0,194,1,0
2,78,0,0
0,149,0,0
0,108,0,0
1,153,1,0
3,44,0,0
4,72,1,1
0,143,1,0
4,97,1,0
2,133,1,0
0,151,0,0
1,111,0,1
1,75,0,0
3,21,0,0
1,164,0,0
1,67,0,0
1,174,0,0
1,111,0,0
1,121,1,1
2,53,0,0
2,115,0,0
0,188,0,0
3,114,1,1
3,25,0,0
1,25,0,1
0,47,0,0
1,155,0,0
2,148,0,0
2,99,1,0
3,37,0,1
3,99,0,0
2,142,0,0
2,111,0,0
2,194,1,0
1,30,1,0
0,25,0,0
2,161,0,0
1,131,0,0
1,41,1,1
0,178,0,0
0,47,0,0
3,166,0,0
1,134,0,1
0,148,0,0
4,160,1,0
1,198,0,1
1,20,1,1
2,48,1,0
0,160,0,1
3,61,0,0
3,48,1,1
1,113,0,0
1,163,0,0
1,79,1,0
1,124,0,0
2,181,0,0
0,59,0,0
2,112,1,0
1,71,0,0
1,83,1,0
0,23,0,0
1,195,0,0
0,130,1,0
2,37,1,0
4,105,0,1
1,29,0,0
2,134,0,0
1,33,0,0
1,198,0,0
1,137,1,1
0,129,1,0
2,114,1,0
1,118,0,0
0,65,0,0
2,80,0,0
2,149,1,0
1,182,0,0
1,53,0,0
2,112,1,0
2,89,0,1
1,84,0,0
0,182,1,0
2,195,0,0
1,66,1,0
3,30,0,0
0,134,0,0
0,151,0,0
0,105,1,1
5,52,1,1
0,181,0,0
2,114,1,0
1,93,0,0
2,182,0,0
1,47,0,0
2,42,1,0
1,68,0,0
3,95,1,0
2,21,0,0
0,96,0,0
4,119,0,0
1,130,1,0
7,173,0,0
0,164,0,0
3,62,1,1
2,116,0,0
5,78,0,0
0,140,0,0
3,85,1,0
1,93,0,0
1,58,0,0
0,45,0,0
1,169,0,0
2,41,0,0
0,107,1,0
1,48,0,0
2,134,0,0
1,29,1,0
1,129,1,0
1,172,0,0
2,168,1,1
0,137,0,0
4,142,1,0
0,186,1,0
2,85,0,0
3,153,0,0
2,20,1,1
2,47,0,0
2,158,0,0
1,186,1,0
1,143,0,0
2,165,0,0
0,39,1,0
1,95,0,0
2,110,1,0
0,77,0,0
0,197,1,0
0,188,1,0
2,117,0,1
0,165,1,0
1,181,0,0
1,85,0,0
0,122,0,0
2,84,0,0
1,145,1,0
2,124,0,0
1,46,0,0
4,49,1,0
3,105,0,0
3,95,0,0
4,148,0,0
0,60,0,0
1,132,0,0
2,20,1,0
4,152,0,0
1,195,0,0
0,152,0,1
0,90,0,0
1,103,0,0
1,45,1,0
2,68,0,0
2,89,1,0
2,109,1,0
0,80,0,0
1,22,1,0
1,186,1,0
3,97,1,0
3,196,0,0
3,33,0,0
2,39,0,1
2,191,0,0
1,156,0,0
2,25,0,0
1,121,0,0
2,124,0,0
0,62,0,0
1,83,0,0
2,116,0,0
1,63,0,0
0,24,0,0
1,160,0,0
1,139,0,0
2,162,0,0
1,138,0,1
0,181,0,0
1,109,0,0
3,49,0,0
0,75,0,0
6,143,1,0
2,172,0,0
1,87,0,0
0,144,0,0
0,66,1,0
3,47,0,0
1,56,0,0
2,93,1,0
2,92,0,0
2,146,0,0
0,55,0,0
1,148,0,0
1,94,1,0
0,172,0,0
0,94,1,1
2,60,0,0
4,88,0,0
6,76,0,0
1,22,1,0
4,155,0,0
1,67,1,0
0,78,0,0
2,132,0,0
1,55,1,0
2,98,0,0
1,96,1,0
1,188,0,0
1,93,0,0
2,78,0,0
0,181,0,0
2,49,0,0
2,108,0,0
0,81,1,1
2,89,0,0
1,74,0,0
1,120,0,0
3,119,0,0
2,115,0,0
1,41,1,0
1,138,0,0
2,116,0,0
0,41,1,0
3,119,0,0
1,101,0,0
2,160,1,0
1,42,1,0
0,165,1,0
2,93,0,0
2,85,0,0
1,33,1,0
0,179,1,0
1,177,0,0
0,166,0,0
2,88,1,0
3,195,0,0
0,115,0,1
1,141,0,0
0,93,0,0
1,152,1,0
4,186,0,0
2,190,0,0
5,166,0,0
0,94,0,0
0,186,0,0
0,121,0,0
2,78,1,0
1,113,1,0
3,199,0,0
2,113,0,0
1,197,0,1
1,29,0,0
2,126,0,0
1,102,0,0
2,137,0,0
1,34,0,0
2,79,0,1
